;NU_INSCRICAO;NU_ANO;TP_ESCOLA;CO_ESCOLA;CO_MUNICIPIO_ESC;NO_MUNICIPIO_ESC;TP_DEPENDENCIA_ADM_ESC;TP_LOCALIZACAO_ESC;NU_NOTA_CN;NU_NOTA_CH;NU_NOTA_LC;NU_NOTA_MT;NU_NOTA_REDACAO
13931;180008069215;2018;2;29417287.0;2922300.0;Muritiba;2.0;2.0;505.4;424.1;437.7;414.0;400.0
13932;180008515061;2018;1;24085367.0;2402204.0;Canguaretama;1.0;2.0;488.9;497.0;527.2;721.0;920.0
13933;180008497307;2018;1;21197067.0;2101707.0;Barreirinhas;1.0;2.0;389.1;518.5;357.1;430.3;300.0
13934;180008069419;2018;1;32079583.0;3201209.0;Cachoeiro de Itapemirim;1.0;2.0;676.3;652.4;639.7;791.7;800.0
13935;180007298337;2018;1;43246400.0;4317806.0;Santo Augusto;1.0;2.0;;;;;
13936;180008500105;2018;2;35902366.0;3528502.0;Mairiporã;2.0;2.0;386.5;522.3;454.2;385.0;360.0
13937;180007301633;2018;2;33097810.0;3301702.0;Duque de Caxias;2.0;2.0;415.0;551.0;448.1;573.8;480.0
13938;180007270392;2018;1;23162678.0;2304202.0;Crato;1.0;2.0;549.5;485.5;538.8;636.6;540.0
13939;180008497217;2018;2;25078569.0;2512408.0;Puxinanã;2.0;2.0;488.7;568.2;514.4;558.9;600.0
13940;180008496162;2018;2;52065456.0;5205109.0;Catalão;2.0;2.0;391.9;427.8;429.4;496.6;260.0
13941;180008497084;2018;2;42094208.0;4207304.0;Imbituba;2.0;2.0;517.9;631.7;549.2;537.5;580.0
13942;180008095338;2018;2;32078625.0;3204500.0;Santa Leopoldina;2.0;2.0;408.9;469.8;490.2;382.7;0.0
13943;180007284608;2018;2;23100575.0;2311306.0;Quixadá;2.0;2.0;;;;;
13944;180008498233;2018;1;28021118.0;2806701.0;São Cristóvão;1.0;2.0;438.6;562.6;564.5;568.1;360.0
13945;180008503417;2018;2;15011259.0;1506807.0;Santarém;2.0;2.0;487.3;608.6;499.8;391.7;300.0
13946;180007304976;2018;2;43029116.0;4303004.0;Cachoeira do Sul;2.0;2.0;;;;;
13947;180008072554;2018;2;42274265.0;4215679.0;Santa Terezinha;2.0;2.0;495.6;633.5;529.7;529.6;560.0
13948;180007273602;2018;2;29223016.0;2901007.0;Amargosa;2.0;2.0;480.1;538.7;518.2;469.4;540.0
13949;180008095367;2018;2;23461667.0;2305506.0;Iguatu;2.0;2.0;387.0;434.5;479.8;461.3;300.0
13950;180008501229;2018;2;25151401.0;2504009.0;Campina Grande;2.0;2.0;410.7;591.0;470.9;377.4;500.0
13951;180008084847;2018;2;43054072.0;4306767.0;Eldorado do Sul;2.0;2.0;458.7;566.2;514.9;512.0;600.0
13952;180008501244;2018;2;17047358.0;1702208.0;Araguatins;2.0;2.0;;;;;
13953;180008500561;2018;2;35020369.0;3515186.0;Espírito Santo do Pinhal;2.0;2.0;558.3;629.3;518.6;595.2;640.0
13954;180008507486;2018;2;35914666.0;3537800.0;Piedade;2.0;2.0;508.6;512.8;509.0;586.8;560.0
13955;180008084859;2018;2;24080578.0;2401008.0;Apodi;2.0;2.0;468.7;585.2;466.1;496.0;560.0
13956;180008498276;2018;2;53004981.0;5300108.0;Brasília;2.0;2.0;510.3;619.6;566.4;554.0;540.0
13957;180007272088;2018;2;23545399.0;2313500.0;Trairi;2.0;2.0;546.2;597.8;600.6;593.3;580.0
13958;180008074652;2018;2;52000079.0;5206404.0;Crixás;2.0;2.0;452.2;425.3;389.1;442.4;320.0
13959;180007276916;2018;2;43002943.0;4306601.0;Dom Pedrito;2.0;2.0;439.9;499.0;363.2;461.6;380.0
13960;180008072646;2018;2;32031238.0;3202900.0;Itarana;2.0;2.0;434.8;581.0;524.6;374.5;440.0
13961;180008500462;2018;2;25018272.0;2516201.0;Sousa;2.0;2.0;434.2;591.8;354.6;445.4;440.0
13962;180007280842;2018;1;21206341.0;2103307.0;Codó;1.0;2.0;536.1;655.1;576.1;445.3;680.0
